game_id,timestamp,model,actual_killer,rounds_played,correctly_identified,Openness Agent_voted_for,Conscientiousness Agent_voted_for,Extraversion Agent_voted_for,Agreeableness Agent_voted_for,Neuroticism Agent_voted_for
156a6212-f88d-4886-944d-d1f27d391626,2025-11-19 14:51:39,gemini-2.0-flash-lite,Conscientiousness Agent,3,False,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Openness Agent,Conscientiousness Agent
2bb00bfe-a494-4183-b370-a1241b1516e1,2025-11-19 14:51:44,gemini-2.0-flash-lite,Extraversion Agent,3,True,Extraversion Agent,Extraversion Agent,Conscientiousness Agent,Neuroticism Agent,Extraversion Agent
ec65934c-3b64-4697-a59b-6a5c509f4cfd,2025-11-19 14:55:47,gemini-2.0-flash,Conscientiousness Agent,3,False,Conscientiousness Agent,Neuroticism Agent,Agreeableness Agent,Neuroticism Agent,Agreeableness Agent
ec65934c-3b64-4697-a59b-6a5c509f4cfd,2025-11-19 14:56:11,gemini-2.0-flash,Conscientiousness Agent,6,False,Conscientiousness Agent,Openness Agent,Neuroticism Agent,Extraversion Agent,Extraversion Agent
ec65934c-3b64-4697-a59b-6a5c509f4cfd,2025-11-19 14:56:34,gemini-2.0-flash,Conscientiousness Agent,9,False,Neuroticism Agent,Neuroticism Agent,Agreeableness Agent,Neuroticism Agent,Agreeableness Agent
4bf90308-b356-4ea1-adbb-f6aa843b7485,2025-11-19 15:12:26,gemini-2.0-flash,Agreeableness Agent,3,False,Neuroticism Agent,Openness Agent,Neuroticism Agent,Openness Agent,Agreeableness Agent
4bf90308-b356-4ea1-adbb-f6aa843b7485,2025-11-19 15:12:58,gemini-2.0-flash,Agreeableness Agent,6,True,Neuroticism Agent,Agreeableness Agent,Agreeableness Agent,Conscientiousness Agent,Agreeableness Agent
ad5294c4-76ca-4688-bbd1-8ceaecb422c4,2025-11-19 15:49:42,gemini-2.0-flash,Extraversion Agent,3,False,Conscientiousness Agent,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Openness Agent
4e76b631-77ac-4548-8007-11f9cc2f7dd8,2025-11-19 15:58:23,gemini-2.0-flash,Agreeableness Agent,3,False,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Extraversion Agent,Openness Agent
91ebcb4f-0d2e-470a-af4e-9f20a6da03a9,2025-11-19 15:58:23,gemini-2.0-flash,Conscientiousness Agent,3,False,Neuroticism Agent,Openness Agent,Neuroticism Agent,Neuroticism Agent,Openness Agent
da9b3edf-b0fe-4815-be69-beb50cb318b6,2025-11-19 15:58:25,gemini-2.0-flash,Extraversion Agent,3,False,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Conscientiousness Agent,Extraversion Agent
af2f296b-8182-491d-aad3-8caa13ff4386,2025-11-19 15:58:26,gemini-2.0-flash,Conscientiousness Agent,3,False,Neuroticism Agent,Openness Agent,Openness Agent,Openness Agent,Openness Agent
91ce5afc-326e-4867-a2ae-36a0592d4656,2025-11-19 17:40:52,gemini-2.0-flash,Neuroticism Agent,3,True,Neuroticism Agent,Openness Agent,Neuroticism Agent,Neuroticism Agent,Openness Agent
e60bf532-5b57-43c5-8e53-57ce49bca149,2025-11-19 17:40:56,gemini-2.0-flash,Extraversion Agent,3,False,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Neuroticism Agent,Openness Agent
79c57563-40dc-49c2-9be8-3e5e8bf21bbd,2025-11-19 17:41:34,gemini-2.0-flash,Agreeableness Agent,3,False,Conscientiousness Agent,Openness Agent,Neuroticism Agent,Extraversion Agent,Extraversion Agent
eac7f74d-f30a-4c0d-836e-1619e048987c,2025-11-19 17:41:36,gemini-2.0-flash,Openness Agent,3,False,Conscientiousness Agent,Openness Agent,Conscientiousness Agent,Neuroticism Agent,Conscientiousness Agent
79c57563-40dc-49c2-9be8-3e5e8bf21bbd,2025-11-19 17:41:54,gemini-2.0-flash,Agreeableness Agent,6,False,Neuroticism Agent,Extraversion Agent,Neuroticism Agent,Extraversion Agent,Extraversion Agent
